,Layer,epoch,Acc,Val_Acc,Loss,Val_Loss,Sample Size
3,"150,16,1",4,0.68310601463122,0.681742685583187,0.6063622620454,0.5985659697860902,40.0%
4,"150,16,1",5,0.6792091225614016,0.6834036029206088,0.6039094867543936,0.5969019369694013,40.0%
5,"150,16,1",6,0.6832976650598844,0.688386354932874,0.600716738274665,0.5923823397918361,40.0%
6,"150,16,1",7,0.6864279554093333,0.687364251955999,0.5987811700743808,0.5911563062128686,40.0%
7,"150,16,1",8,0.6857891206439455,0.6782930880362341,0.5965509793439455,0.5895761791942706,40.0%
8,"150,16,1",9,0.6832018398460282,0.6842979430253743,0.5972384001690703,0.5879062609653052,40.0%
9,"150,16,1",10,0.6855335867377903,0.6825092628158432,0.5959127614619758,0.5874458307870826,40.0%
10,"150,16,1",11,0.6862682467198903,0.6863421489791242,0.5948068232727389,0.5883662502123232,40.0%
11,"150,16,1",12,0.6827865972475741,0.686980963339671,0.5944777465886735,0.5828680378717223,40.0%
12,"150,16,1",13,0.6858530041204842,0.6842979430253743,0.5939851168750265,0.586083402974983,40.0%
13,"150,16,1",14,0.6900373718347271,0.6818704484552963,0.5935139369309856,0.5862850468704279,40.0%
14,"150,16,1",15,0.6871945571297028,0.6842979430253743,0.5918595530327131,0.5846019660709186,40.0%
15,"150,16,1",16,0.6886319353499217,0.6846812316417024,0.5915674483528208,0.5807820349889833,40.0%
16,"150,16,1",17,0.6899096048816495,0.6699885013491255,0.5924910800139129,0.6072671160975742,40.0%
17,"150,16,1",18,0.6897179544529851,0.6881308291886552,0.592000760320093,0.5863500287268709,40.0%
18,"150,16,1",19,0.6879292171089469,0.6871087262117803,0.5920249146354626,0.5819671965923227,40.0%
19,"150,16,1",20,0.6907720318139713,0.6846812316417024,0.5908669568708933,0.5829662611860112,40.0%
0,"150,16,1",1,0.6806856899488927,0.6887828975385402,0.6281589991214734,0.614771591973319,60.0%
1,"150,16,1",2,0.6874574105621806,0.6870794651222213,0.618263087653931,0.6122201783481829,60.0%
2,"150,16,1",3,0.6882027257240204,0.6896346137466997,0.6158793380036569,0.6078903795192274,60.0%
3,"150,16,1",4,0.6908432708688246,0.6904011583340431,0.6140736140374228,0.6091020127372719,60.0%
4,"150,16,1",5,0.6897146507666099,0.6901456434715952,0.6125018776960836,0.6049649154558142,60.0%
5,"150,16,1",6,0.6909071550255537,0.6894642705050678,0.6116304372921205,0.6079024277546877,60.0%
6,"150,16,1",7,0.6914395229982965,0.6906566731964909,0.6111728537377141,0.6047000988674431,60.0%
7,"150,16,1",8,0.6914395229982965,0.6902308150924112,0.6094874852903353,0.606292618449548,60.0%
8,"150,16,1",9,0.6919931856899489,0.6930414785793374,0.609295653912288,0.6022794526497111,60.0%
9,"150,16,1",10,0.6922700170357752,0.6922749339919939,0.6085013617877254,0.6041321736788914,60.0%
10,"150,16,1",11,0.6942504258943782,0.6918490758879141,0.6070729767367421,0.5997878626089224,60.0%
11,"150,16,1",12,0.6945272572402045,0.699770036623797,0.6062174029330988,0.5995891612353413,60.0%
12,"150,16,1",13,0.6951873935264055,0.6909121880589387,0.6052101247139542,0.5994859531632214,60.0%
13,"150,16,1",14,0.6957410562180579,0.6929563069585214,0.6046797674409474,0.6009383007367479,60.0%
14,"150,16,1",15,0.6944633730834753,0.6985776339323737,0.6053662783052182,0.598001073543628,60.0%
15,"150,16,1",16,0.6945272572402045,0.6923601056128098,0.6045647653965264,0.6035014159476754,60.0%
16,"150,16,1",17,0.6953577512776832,0.6947449109956563,0.6033474607872292,0.6012289814359741,60.0%
17,"150,16,1",18,0.695144804088586,0.698066604207478,0.6041466817881728,0.5968005861276338,60.0%
18,"150,16,1",19,0.6960604770017036,0.6989183204156375,0.6041177145121349,0.5964132863499929,60.0%
19,"150,16,1",20,0.6962095400340715,0.6969593731368708,0.6024410910193619,0.5989360533056283,60.0%
0,"150,16,1",1,0.6793209186443926,0.6906222051871727,0.6211113118354677,0.6051770289487669,80.0%
1,"150,16,1",2,0.6857891206439455,0.6880669477449853,0.6107220165059054,0.6016398659150872,80.0%
2,"150,16,1",3,0.6883764014437666,0.6917720710361569,0.6072726273055382,0.6020218535098321,80.0%
3,"150,16,1",4,0.6893985370683873,0.6940079212980708,0.6057171310493976,0.5969306596115629,80.0%
4,"150,16,1",5,0.6886958188264606,0.6920914782164304,0.6044788477427051,0.5935896143223935,80.0%
5,"150,16,1",6,0.6896061583671383,0.6933052255014692,0.600967961266367,0.5990236059518492,80.0%
6,"150,16,1",7,0.6909796531127224,0.690749968059282,0.6010671927799118,0.6037171016567068,80.0%
7,"150,16,1",8,0.6906921774682978,0.6844895873259231,0.5985936520546632,0.6004004217517686,80.0%
8,"150,16,1",9,0.6903727600856039,0.6877475405647119,0.5988368866431792,0.5949373135960269,80.0%
9,"150,16,1",10,0.6896381001054077,0.6870448447681103,0.5994344775336771,0.589428846438878,80.0%
10,"150,16,1",11,0.690101255310314,0.691963715344321,0.5986269267869284,0.5938486769972473,80.0%
11,"150,16,1",12,0.6907560609448367,0.6903027980068992,0.5977388887376152,0.591620189732818,80.0%
12,"150,16,1",13,0.6898457214041588,0.6922192410885397,0.5967644281242939,0.5920824412681506,80.0%
13,"150,16,1",14,0.6902290222633916,0.6915804267279928,0.5972464445880948,0.5899687193927141,80.0%
14,"150,16,1",15,0.6903567892164691,0.6941356841701801,0.5954257751969919,0.5852319309617636,80.0%
15,"150,16,1",16,0.6894943622831955,0.694966142838891,0.5962403705542023,0.5867369758248162,80.0%
16,"150,16,1",17,0.6896700418436771,0.6918998339082663,0.5951834778404436,0.5956030661794468,80.0%
17,"150,16,1",18,0.6910435365892612,0.6899195093905711,0.5954403569777573,0.5883878437787678,80.0%
18,"150,16,1",19,0.6917781965694573,0.6852561645585793,0.5951808528686037,0.5882178280786702,80.0%
19,"150,16,1",20,0.6914747500558981,0.6929219368851411,0.5948907014702557,0.5925232661407052,80.0%
0,"150,16,1",1,0.6862063678642613,0.7014513491414555,0.6061064150996771,0.5768404607603955,100.0%
1,"150,16,1",2,0.6922369295241989,0.7096790678659035,0.5865042381273796,0.5668669780586844,100.0%
2,"150,16,1",3,0.6932079521643584,0.7035977105478332,0.5820701525575597,0.5676476747354985,100.0%
3,"150,16,1",4,0.701512751060459,0.7156071136549469,0.575883271579784,0.5600824170317181,100.0%
4,"150,16,1",5,0.7016532938110084,0.7076860179885527,0.5728659123978492,0.561566249815441,100.0%
5,"150,16,1",6,0.7037997649103082,0.714278413736713,0.571607976583377,0.5596810718990698,100.0%
6,"150,16,1",7,0.7069939183318853,0.7104967293540474,0.5699146478418563,0.5563290502254654,100.0%
7,"150,16,1",8,0.7048985536873307,0.7085547833197057,0.5685799635157409,0.5601298759386053,100.0%
8,"150,16,1",9,0.7063806408749425,0.7131541291905151,0.5680455734972608,0.5552248277260525,100.0%
9,"150,16,1",10,0.7083226861552614,0.7170380212591987,0.5656811300713308,0.5579960664790596,100.0%
10,"150,16,1",11,0.7071727909234936,0.7188777596075225,0.5660639678262714,0.5582621974607082,100.0%
11,"150,16,1",12,0.7099580927071089,0.7167313982011447,0.5652875787312316,0.5583025964307473,100.0%
12,"150,16,1",13,0.7125389686717433,0.7115188062142274,0.5639835537458441,0.562659658319511,100.0%
13,"150,16,1",14,0.7116701589410742,0.7162714636140638,0.5633574553934848,0.5574586133161166,100.0%
14,"150,16,1",15,0.7150176317268871,0.7184689288634505,0.5612145211179597,0.5543788547291804,100.0%
15,"150,16,1",16,0.7119001379874278,0.7171913327882257,0.5624792008709425,0.5590637908397107,100.0%
16,"150,16,1",17,0.7120790105790361,0.7215862632869992,0.5623530560555438,0.5529587379247803,100.0%
17,"150,16,1",18,0.7135483211529616,0.7185200327064595,0.5608920454577228,0.5530711532869694,100.0%
18,"150,16,1",19,0.7118618081463689,0.7173957481602616,0.5606399847484607,0.5510404889920356,100.0%
19,"150,16,1",20,0.7150304083405734,0.7212796402289452,0.559354738904109,0.5495503537390359,100.0%
