,Layer,epoch,Loss,Val_Loss,Sample Size
18,"306,300,200.0,150,200.0,300,306",19,0.0006762872718552158,0.0007099018046393517,60.0%
19,"306,300,200.0,150,200.0,300,306",20,0.0006849452511808867,0.0008013469550376352,60.0%
0,"306,300,200.0,150,200.0,300,306",1,0.0017935259045869815,0.0008864227068432691,80.0%
1,"306,300,200.0,150,200.0,300,306",2,0.0009133170500867121,0.0008007915437885805,80.0%
2,"306,300,200.0,150,200.0,300,306",3,0.0008066820195043472,0.0007592257193211195,80.0%
3,"306,300,200.0,150,200.0,300,306",4,0.0007242668783677729,0.0006137721878746205,80.0%
4,"306,300,200.0,150,200.0,300,306",5,0.0006976032863362586,0.0006557871030175469,80.0%
5,"306,300,200.0,150,200.0,300,306",6,0.0006725728002403655,0.0007323898538444137,80.0%
6,"306,300,200.0,150,200.0,300,306",7,0.0006784898411204747,0.0006353198574572777,80.0%
7,"306,300,200.0,150,200.0,300,306",8,0.0006619084901077232,0.000571399873509788,80.0%
8,"306,300,200.0,150,200.0,300,306",9,0.0006410775937384349,0.0005804702834391835,80.0%
9,"306,300,200.0,150,200.0,300,306",10,0.000644737783417618,0.0006524194078558367,80.0%
10,"306,300,200.0,150,200.0,300,306",11,0.0006457008478027301,0.0006000972277064286,80.0%
11,"306,300,200.0,150,200.0,300,306",12,0.0006386208964361316,0.0005370226903904995,80.0%
12,"306,300,200.0,150,200.0,300,306",13,0.0006456072540901676,0.0006454620633578994,80.0%
13,"306,300,200.0,150,200.0,300,306",14,0.0006473564271300433,0.0006341856260329655,80.0%
14,"306,300,200.0,150,200.0,300,306",15,0.0007194259871516581,0.0006651236699419263,80.0%
15,"306,300,200.0,150,200.0,300,306",16,0.0006981913376433816,0.000805197890269775,80.0%
16,"306,300,200.0,150,200.0,300,306",17,0.0006827673317328127,0.0006264696066300333,80.0%
17,"306,300,200.0,150,200.0,300,306",18,0.0007443990036693144,0.0006370312467182154,80.0%
18,"306,300,200.0,150,200.0,300,306",19,0.0006866688136878124,0.0006310024564781713,80.0%
19,"306,300,200.0,150,200.0,300,306",20,0.0006744191068387267,0.0007011357023618634,80.0%
0,"306,300,200.0,150,200.0,300,306",1,0.001625608278444935,0.000918806354666864,100.0%
1,"306,300,200.0,150,200.0,300,306",2,0.0008307059670889343,0.0007560188479887583,100.0%
2,"306,300,200.0,150,200.0,300,306",3,0.0007367647660204142,0.0006669036882431094,100.0%
3,"306,300,200.0,150,200.0,300,306",4,0.0007080779760199684,0.000734445492540563,100.0%
4,"306,300,200.0,150,200.0,300,306",5,0.0006983465721210691,0.000748167871148308,100.0%
5,"306,300,200.0,150,200.0,300,306",6,0.0006873893262408143,0.0005921516562247372,100.0%
6,"306,300,200.0,150,200.0,300,306",7,0.0006734931839051568,0.0006189101972400231,100.0%
7,"306,300,200.0,150,200.0,300,306",8,0.0006497575125446459,0.000632140900224921,100.0%
8,"306,300,200.0,150,200.0,300,306",9,0.000647328987488969,0.000635117814615543,100.0%
9,"306,300,200.0,150,200.0,300,306",10,0.000652777562573756,0.0007022909111870087,100.0%
10,"306,300,200.0,150,200.0,300,306",11,0.0006557707453170071,0.0007452584808590208,100.0%
11,"306,300,200.0,150,200.0,300,306",12,0.0006685491425931571,0.0006270363823021813,100.0%
12,"306,300,200.0,150,200.0,300,306",13,0.0006935022701618143,0.0006283246170560129,100.0%
13,"306,300,200.0,150,200.0,300,306",14,0.0006906505746471559,0.0006780129015172998,100.0%
14,"306,300,200.0,150,200.0,300,306",15,0.0006825602130053985,0.0006484383435056111,100.0%
15,"306,300,200.0,150,200.0,300,306",16,0.000714840883348515,0.0017373735388056476,100.0%
16,"306,300,200.0,150,200.0,300,306",17,0.0007141128034595232,0.000701363802690979,100.0%
17,"306,300,200.0,150,200.0,300,306",18,0.0008096351671051625,0.0007402700375586147,100.0%
18,"306,300,200.0,150,200.0,300,306",19,0.0007919277996662208,0.0007751019390166943,100.0%
19,"306,300,200.0,150,200.0,300,306",20,0.0007610650518371025,0.0008428792773216741,100.0%
